2025-07-22 15:07:18.848 [main] INFO  [] m.r.m.MarketpulseApplication - Starting MarketpulseApplication using Java 21.0.2 with PID 72793 (/Users/rgunny/Study/my-project/MarketPulse/backend/marketpulse/api/build/classes/java/main started by rgunny in /Users/rgunny/Study/my-project/MarketPulse/backend/marketpulse)
2025-07-22 15:07:18.849 [main] INFO  [] m.r.m.MarketpulseApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-22 15:07:19.778 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-22 15:07:19.778 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-22 15:07:19.803 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-22 15:07:19.889 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-22 15:07:20.012 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:7c0a9f1a-75d3-4f04-a0f9-9ba9713d9ded user=SA
2025-07-22 15:07:20.013 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-22 15:07:20.514 [main] WARN  [] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-22 15:07:21.079 [main] INFO  [] m.r.m.MarketpulseApplication - Started MarketpulseApplication in 2.523 seconds (process running for 2.908)
2025-07-22 15:07:25.039 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-22 15:07:25.040 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
